Date,S&P,Nasdaq
2018-04-17,2706.389893,7281.100098
2018-04-18,2708.639893,7295.240234
2018-04-19,2693.129883,7238.060059
2018-04-20,2670.139893,7146.129883
2018-04-23,2670.290039,7128.600098
2018-04-24,2634.560059,7007.350098
2018-04-25,2639.399902,7003.740234
2018-04-26,2666.939941,7118.680176
2018-04-27,2669.909912,7119.799805
2018-04-30,2648.050049,7066.27002
2018-05-01,2654.800049,7130.700195
2018-05-02,2635.669922,7100.899902
2018-05-03,2629.72998,7088.149902
2018-05-04,2663.419922,7209.620117
2018-05-07,2672.629883,7265.209961
2018-05-08,2671.919922,7266.899902
2018-05-09,2697.790039,7339.910156
2018-05-10,2723.070068,7404.970215
2018-05-11,2727.719971,7402.879883
2018-05-14,2730.129883,7411.319824
2018-05-15,2711.449951,7351.629883
2018-05-16,2722.459961,7398.299805
2018-05-17,2720.129883,7382.470215
2018-05-18,2712.969971,7354.339844
2018-05-21,2733.01001,7394.040039
2018-05-22,2724.439941,7378.459961
2018-05-23,2733.290039,7425.959961
2018-05-24,2727.76001,7424.430176
2018-05-25,2721.330078,7433.850098
2018-05-29,2689.860107,7396.589844
2018-05-30,2724.01001,7462.450195
2018-05-31,2705.27002,7442.120117
2018-06-01,2734.620117,7554.330078
2018-06-04,2746.870117,7606.459961
2018-06-05,2748.800049,7637.859863
2018-06-06,2772.350098,7689.240234
2018-06-07,2770.370117,7635.069824
2018-06-08,2779.030029,7645.509766
2018-06-11,2782,7659.930176
2018-06-12,2786.850098,7703.790039
2018-06-13,2775.629883,7695.700195
2018-06-14,2782.48999,7761.040039
2018-06-15,2779.659912,7746.379883
2018-06-18,2773.75,7747.029785
2018-06-19,2762.590088,7725.589844
2018-06-20,2767.320068,7781.509766
2018-06-21,2749.76001,7712.950195
2018-06-22,2754.879883,7692.819824
2018-06-25,2717.070068,7532.009766
2018-06-26,2723.060059,7561.629883
2018-06-27,2699.629883,7445.080078
2018-06-28,2716.310059,7503.680176
2018-06-29,2718.370117,7510.299805
2018-07-02,2726.709961,7567.689941
2018-07-03,2713.219971,7502.669922
2018-07-05,2736.610107,7586.430176
2018-07-06,2759.820068,7688.390137
2018-07-09,2784.169922,7756.200195
2018-07-10,2793.840088,7759.200195
2018-07-11,2774.02002,7716.609863
2018-07-12,2798.290039,7823.919922
2018-07-13,2801.310059,7825.97998
2018-07-16,2798.429932,7805.720215
2018-07-17,2809.550049,7855.120117
2018-07-18,2815.620117,7854.439941
2018-07-19,2804.48999,7825.299805
2018-07-20,2801.830078,7820.200195
2018-07-23,2806.97998,7841.870117
2018-07-24,2820.399902,7840.77002
2018-07-25,2846.070068,7932.240234
